latitude,longitude,country code
43.0,2.0,AD
43.0,1.0,AD
42.0,2.0,AD
42.0,1.0,AD
23.0,53.0,AE
23.0,55.0,AE
21.0,51.0,AE
24.0,51.0,AE
24.0,52.0,AE
23.0,54.0,AE
22.0,54.0,AE
24.0,56.0,AE
26.0,56.0,AE
25.0,56.0,AE
24.0,55.0,AE
25.0,54.0,AE
25.0,55.0,AE
25.0,53.0,AE
24.0,54.0,AE
24.0,53.0,AE
25.0,52.0,AE
26.0,55.0,AE
26.0,54.0,AE
26.0,53.0,AE
23.0,52.0,AE
44.0,59.0,AF
32.0,69.0,AF
33.0,70.0,AF
34.0,71.0,AF
36.0,61.0,AF
31.0,62.0,AF
30.0,61.0,AF
36.0,71.0,AF
37.0,74.0,AF
31.0,66.0,AF
34.0,70.0,AF
30.0,64.0,AF
37.0,73.0,AF
32.0,68.0,AF
30.0,65.0,AF
35.0,72.0,AF
30.0,66.0,AF
35.0,71.0,AF
36.0,72.0,AF
31.0,67.0,AF
29.0,64.0,AF
34.0,68.0,AF
35.0,66.0,AF
32.0,62.0,AF
33.0,69.0,AF
34.0,67.0,AF
34.0,69.0,AF
35.0,61.0,AF
35.0,65.0,AF
36.0,64.0,AF
32.0,65.0,AF
36.0,66.0,AF
32.0,66.0,AF
33.0,61.0,AF
37.0,69.0,AF
33.0,64.0,AF
33.0,68.0,AF
36.0,67.0,AF
33.0,65.0,AF
36.0,70.0,AF
34.0,63.0,AF
33.0,66.0,AF
34.0,62.0,AF
31.0,64.0,AF
36.0,69.0,AF
37.0,70.0,AF
33.0,63.0,AF
32.0,64.0,AF
35.0,67.0,AF
34.0,64.0,AF
37.0,71.0,AF
37.0,67.0,AF
36.0,65.0,AF
31.0,68.0,AF
35.0,70.0,AF
33.0,67.0,AF
35.0,68.0,AF
38.0,71.0,AF
34.0,61.0,AF
34.0,65.0,AF
35.0,62.0,AF
36.0,68.0,AF
33.0,62.0,AF
30.0,63.0,AF
32.0,61.0,AF
32.0,63.0,AF
35.0,64.0,AF
32.0,67.0,AF
30.0,62.0,AF
34.0,66.0,AF
35.0,63.0,AF
35.0,69.0,AF
37.0,68.0,AF
31.0,63.0,AF
31.0,65.0,AF
37.0,72.0,AF
38.0,70.0,AF
37.0,65.0,AF
37.0,66.0,AF
36.0,63.0,AF
37.0,75.0,AF
38.0,72.0,AF
29.0,63.0,AF
29.0,65.0,AF
30.0,67.0,AF
31.0,61.0,AF
38.0,66.0,AF
38.0,62.0,AF
28.0,63.0,AF
38.0,74.0,AF
38.0,67.0,AF
38.0,69.0,AF
29.0,62.0,AF
34.0,36.0,AF
17.0,-62.0,AG
18.0,-62.0,AG
21.0,-72.0,AG
18.0,-63.0,AI
19.0,-63.0,AI
18.0,-64.0,AI
40.0,20.0,AL
41.0,21.0,AL
40.0,21.0,AL
41.0,20.0,AL
42.0,20.0,AL
43.0,20.0,AL
42.0,21.0,AL
41.0,19.0,AL
42.0,19.0,AL
40.0,19.0,AL
39.0,46.0,AM
40.0,46.0,AM
40.0,45.0,AM
40.0,44.0,AM
39.0,47.0,AM
40.0,47.0,AM
39.0,45.0,AM
41.0,43.0,AM
41.0,44.0,AM
41.0,45.0,AM
41.0,46.0,AM
39.0,44.0,AM
37.0,45.0,AM
38.0,45.0,AM
40.0,48.0,AM
40.0,43.0,AM
39.0,36.0,AM
35.0,48.0,AM
19.0,-69.0,AN
12.0,-69.0,AN
-8.0,21.0,AO
-9.0,21.0,AO
-8.0,20.0,AO
-8.0,22.0,AO
-9.0,20.0,AO
-9.0,22.0,AO
-7.0,21.0,AO
-10.0,21.0,AO
-10.0,20.0,AO
-7.0,20.0,AO
-7.0,22.0,AO
-10.0,22.0,AO
-6.0,21.0,AO
-16.0,20.0,AO
-13.0,22.0,AO
-11.0,21.0,AO
-18.0,20.0,AO
-13.0,21.0,AO
-15.0,20.0,AO
-15.0,21.0,AO
-12.0,24.0,AO
-17.0,22.0,AO
-13.0,24.0,AO
-12.0,21.0,AO
-18.0,21.0,AO
-13.0,20.0,AO
-14.0,22.0,AO
-17.0,20.0,AO
-14.0,21.0,AO
-15.0,22.0,AO
-17.0,23.0,AO
-12.0,23.0,AO
-17.0,21.0,AO
-16.0,21.0,AO
-11.0,24.0,AO
-14.0,20.0,AO
-13.0,23.0,AO
-12.0,22.0,AO
-12.0,20.0,AO
-16.0,22.0,AO
-11.0,22.0,AO
-11.0,20.0,AO
-11.0,23.0,AO
-18.0,22.0,AO
-18.0,23.0,AO
-14.0,23.0,AO
-16.0,19.0,AO
-6.0,16.0,AO
-7.0,15.0,AO
-9.0,14.0,AO
-6.0,15.0,AO
-8.0,14.0,AO
-10.0,17.0,AO
-8.0,15.0,AO
-10.0,15.0,AO
-10.0,16.0,AO
-8.0,16.0,AO
-7.0,14.0,AO
-7.0,16.0,AO
-9.0,16.0,AO
-10.0,14.0,AO
-6.0,17.0,AO
-6.0,13.0,AO
-9.0,17.0,AO
-6.0,14.0,AO
-8.0,13.0,AO
-8.0,18.0,AO
-9.0,15.0,AO
-5.0,12.0,AO
-5.0,13.0,AO
-9.0,18.0,AO
-10.0,19.0,AO
-8.0,19.0,AO
-10.0,18.0,AO
-9.0,19.0,AO
-7.0,13.0,AO
-9.0,13.0,AO
-6.0,12.0,AO
-8.0,17.0,AO
-7.0,17.0,AO
-10.0,13.0,AO
-4.0,13.0,AO
-5.0,10.0,AO
-5.0,14.0,AO
-3.0,17.0,AO
-7.0,12.0,AO
-4.0,17.0,AO
-6.0,20.0,AO
-5.0,19.0,AO
-5.0,15.0,AO
-11.0,15.0,AO
-12.0,15.0,AO
-11.0,17.0,AO
-13.0,18.0,AO
-17.0,12.0,AO
-17.0,18.0,AO
-11.0,14.0,AO
-12.0,14.0,AO
-14.0,19.0,AO
-13.0,16.0,AO
-15.0,13.0,AO
-13.0,14.0,AO
-15.0,12.0,AO
-17.0,19.0,AO
-11.0,19.0,AO
-17.0,15.0,AO
-12.0,16.0,AO
-13.0,15.0,AO
-14.0,14.0,AO
-13.0,19.0,AO
-15.0,17.0,AO
-13.0,17.0,AO
-16.0,14.0,AO
-16.0,13.0,AO
-14.0,16.0,AO
-15.0,18.0,AO
-12.0,18.0,AO
-15.0,16.0,AO
-15.0,15.0,AO
-15.0,19.0,AO
-15.0,14.0,AO
-16.0,18.0,AO
-13.0,13.0,AO
-17.0,14.0,AO
-12.0,17.0,AO
-16.0,15.0,AO
-11.0,16.0,AO
-14.0,12.0,AO
-14.0,18.0,AO
-14.0,17.0,AO
-14.0,15.0,AO
-16.0,12.0,AO
-14.0,13.0,AO
-17.0,13.0,AO
-17.0,16.0,AO
-11.0,18.0,AO
-12.0,19.0,AO
-16.0,17.0,AO
-16.0,16.0,AO
-17.0,17.0,AO
-18.0,19.0,AO
-23.0,15.0,AO
-18.0,17.0,AO
-32.0,18.0,AO
-12.0,13.0,AO
17.0,-12.0,AO
-73.0,-45.0,AQ
-75.0,-175.0,AQ
-66.0,94.0,AQ
-71.0,-85.0,AQ
-72.0,-112.0,AQ
-70.0,-70.0,AQ
-71.0,176.0,AQ
-78.0,-169.0,AQ
-71.0,-14.0,AQ
-65.0,-20.0,AQ
-68.0,164.0,AQ
-66.0,110.0,AQ
-67.0,167.0,AQ
-65.0,95.0,AQ
-69.0,159.0,AQ
-77.0,-152.0,AQ
-61.0,-60.0,AQ
-63.0,-20.0,AQ
-77.0,-158.0,AQ
-73.0,178.0,AQ
-68.0,-180.0,AQ
-77.0,-155.0,AQ
-75.0,-163.0,AQ
-77.0,176.0,AQ
-78.0,-160.0,AQ
-62.0,-50.0,AQ
-66.0,128.0,AQ
-74.0,180.0,AQ
-62.0,-157.0,AQ
-70.0,165.0,AQ
-76.0,165.0,AQ
-67.0,146.0,AQ
-74.0,174.0,AQ
-66.0,3.0,AQ
-70.0,-118.0,AQ
-78.0,-162.0,AQ
-62.0,-28.0,AQ
-66.0,130.0,AQ
-71.0,-178.0,AQ
-72.0,-179.0,AQ
-62.0,163.0,AQ
-62.0,-66.0,AQ
-66.0,34.0,AQ
-68.0,33.0,AQ
-78.0,180.0,AQ
-76.0,169.0,AQ
-67.0,70.0,AQ
-68.0,78.0,AQ
-62.0,-40.0,AQ
-67.0,80.0,AQ
-75.0,166.0,AQ
-65.0,133.0,AQ
-65.0,-90.0,AQ
-75.0,169.0,AQ
-77.0,-160.0,AQ
-66.0,-86.0,AQ
-76.0,-157.0,AQ
-64.0,101.0,AQ
-65.0,-69.0,AQ
-62.0,-54.0,AQ
-72.0,172.0,AQ
-70.0,170.0,AQ
-75.0,-48.0,AQ
-64.0,-90.0,AQ
-73.0,-48.0,AQ
-66.0,158.0,AQ
-61.0,162.0,AQ
-62.0,156.0,AQ
